Valor,Probabilidad,Probabilidad Acumulada
0,0.006737947,0.006737947
1,0.033689735,0.040427681994512805
2,0.084224337,0.12465201948308113
3,0.14037389581428056,0.2650259152973617
4,0.1754673697678507,0.4404932850652124
5,0.1754673697678507,0.6159606548330632
6,0.1462228081398756,0.7621834629729387
7,0.104444863,0.8666283259299927
8,0.065278039,0.9319063652781515
9,0.036265577,0.9681719426937953
10,0.018132789,0.9863047314016171
11,0.008242177,0.9945469080869906
12,0.00343424,0.997981148
13,0.001320862,0.99930201
14,0.000471736,0.9997737463238233
15,0.000157245,0.9999309917581444
16,4.91391982253366e-05,0.9999801309563697
,,
Contador,Número Generado,Valor Obtenido
1,0.11348433409539871,2
2,0.975008902,10
3,0.9599328777173438,9
4,0.8824050961043896,8
5,0.47108852234876075,5
,,
Tabla de Rangos,,
Rango Inicial,Rango Final,Valor Asignado
0,0.006737947,0
0.006737947,0.040427681994512805,1
0.040427681994512805,0.12465201948308113,2
0.12465201948308113,0.2650259152973617,3
0.2650259152973617,0.4404932850652124,4
0.4404932850652124,0.6159606548330632,5
0.6159606548330632,0.7621834629729387,6
0.7621834629729387,0.8666283259299927,7
0.8666283259299927,0.9319063652781515,8
0.9319063652781515,0.9681719426937953,9
0.9681719426937953,0.9863047314016171,10
0.9863047314016171,0.9945469080869906,11
0.9945469080869906,0.997981148,12
0.997981148,0.99930201,13
0.99930201,0.9997737463238233,14
0.9997737463238233,0.9999309917581444,15
